CENTRALWAVELNG	BANDWIDTH	PL_TRANDEP	PL_TRANDEPERR1	PL_TRANDEPERR2
3.57946	0.00674	2.14217	0.01432	-0.01432
3.58619	0.00674	2.13842	0.02738	-0.02738
3.59293	0.00674	2.13699	0.01402	-0.01402
3.59967	0.00674	2.17587	0.01458	-0.01458
3.6064	0.00674	2.10773	0.0151	-0.0151
3.61314	0.00674	2.1466	0.0149	-0.0149
3.61987	0.00673	2.15064	0.01628	-0.01628
3.62661	0.00673	2.11696	0.01353	-0.01353
3.63334	0.00673	2.11238	0.01472	-0.01472
3.64007	0.00673	2.1049	0.01417	-0.01417
3.6468	0.00673	2.09788	0.01406	-0.01406
3.65354	0.00673	2.10659	0.01661	-0.01661
3.66027	0.00673	2.11467	0.01548	-0.01548
3.667	0.00673	2.11417	0.01424	-0.01424
3.67373	0.00673	2.11238	0.01438	-0.01438
3.68046	0.00673	2.11295	0.01512	-0.01512
3.68719	0.00673	2.12388	0.01419	-0.01419
3.69391	0.00673	2.12122	0.01471	-0.01471
3.70064	0.00673	2.09748	0.01403	-0.01403
3.70737	0.00673	2.11701	0.01528	-0.01528
3.71342	0.00521	2.1117	0.01616	-0.01616
3.8332	0.00672	2.104	0.01562	-0.01562
3.83992	0.00671	2.12212	0.01618	-0.01618
3.84663	0.00671	2.12071	0.0151	-0.0151
3.85335	0.00671	2.10844	0.01603	-0.01603
3.86006	0.00671	2.10045	0.01613	-0.01613
3.86677	0.00671	2.09747	0.0162	-0.0162
3.87348	0.00671	2.09531	0.02655	-0.02655
3.8802	0.00671	2.13116	0.02578	-0.02578
3.88691	0.00671	2.11016	0.01725	-0.01725
3.89362	0.00671	2.11219	0.01563	-0.01563
3.90033	0.00671	2.09286	0.01456	-0.01456
3.90704	0.00671	2.11613	0.01638	-0.01638
3.91374	0.00671	2.12032	0.01604	-0.01604
3.92045	0.00671	2.08118	0.01588	-0.01588
3.9271	0.00671	2.08997	0.0162	-0.0162
3.9338	0.00671	2.09407	0.01541	-0.01541
3.94051	0.00671	2.11238	0.01635	-0.01635
3.94721	0.00671	2.13009	0.01725	-0.01725
3.95392	0.0067	2.10984	0.01681	-0.01681
3.96062	0.0067	2.11983	0.01779	-0.01779
3.96732	0.0067	2.14534	0.01793	-0.01793
3.97402	0.0067	2.11778	0.01696	-0.01696
3.98073	0.0067	2.10635	0.017	-0.017
3.98743	0.0067	2.13256	0.01703	-0.01703
3.99413	0.0067	2.13263	0.01679	-0.01679
4.00083	0.0067	2.14248	0.0178	-0.0178
4.00753	0.0067	2.13237	0.01765	-0.01765
4.01422	0.0067	2.1588	0.01772	-0.01772
4.02092	0.0067	2.11613	0.01705	-0.01705
4.02762	0.0067	2.14475	0.01674	-0.01674
4.03432	0.0067	2.13463	0.01721	-0.01721
4.04101	0.0067	2.13391	0.01739	-0.01739
4.04771	0.00669	2.13145	0.01773	-0.01773
4.0544	0.00669	2.15738	0.01811	-0.01811
4.06109	0.00669	2.12985	0.02038	-0.02038
4.06779	0.00669	2.11166	0.01698	-0.01698
4.07448	0.00669	2.12688	0.01758	-0.01758
4.08117	0.00669	2.16304	0.01821	-0.01821
4.08786	0.00669	2.15436	0.01832	-0.01832
4.09455	0.00669	2.14981	0.017	-0.017
4.10124	0.00669	2.16167	0.01713	-0.01713
4.10793	0.00669	2.13461	0.01747	-0.01747
4.11462	0.00669	2.1403	0.01822	-0.01822
4.12131	0.00669	2.13874	0.01963	-0.01963
4.12799	0.00669	2.09345	0.01819	-0.01819
4.13468	0.00669	2.1299	0.0186	-0.0186
4.14136	0.00668	2.12992	0.0178	-0.0178
4.14805	0.00668	2.13508	0.01932	-0.01932
4.15467	0.00668	2.12487	0.01869	-0.01869
4.16135	0.00668	2.1033	0.01867	-0.01867
4.16804	0.00668	2.11595	0.01848	-0.01848
4.17472	0.00668	2.12425	0.01944	-0.01944
4.1814	0.00668	2.12125	0.01816	-0.01816
4.18808	0.00668	2.12468	0.01892	-0.01892
4.19476	0.00668	2.12037	0.01931	-0.01931
4.20144	0.00668	2.14852	0.03458	-0.03458
4.20812	0.00668	2.15715	0.01923	-0.01923
4.21479	0.00668	2.1704	0.0192	-0.0192
4.22147	0.00668	2.15881	0.01773	-0.01773
4.22815	0.00668	2.17228	0.01784	-0.01784
4.23482	0.00667	2.21706	0.01924	-0.01924
4.2415	0.00667	2.21868	0.02046	-0.02046
4.24817	0.00667	2.20502	0.01911	-0.01911
4.25484	0.00667	2.19565	0.01907	-0.01907
4.26152	0.00667	2.24099	0.02049	-0.02049
4.26819	0.00667	2.28638	0.01914	-0.01914
4.27519	0.00667	2.24156	0.01942	-0.01942
4.28213	0.00667	2.23289	0.02029	-0.02029
4.2888	0.00667	2.24043	0.01972	-0.01972
4.29547	0.00667	2.27125	0.02084	-0.02084
4.30214	0.00667	2.23206	0.02001	-0.02001
4.3088	0.00667	2.24838	0.02315	-0.02315
4.31547	0.00667	2.25139	0.02169	-0.02169
4.32213	0.00667	2.25836	0.0238	-0.0238
4.3288	0.00666	2.28101	0.02296	-0.02296
4.33546	0.00666	2.28086	0.02046	-0.02046
4.34213	0.00666	2.25941	0.02203	-0.02203
4.34879	0.00666	2.26173	0.02251	-0.02251
4.35545	0.00666	2.2668	0.02197	-0.02197
4.36211	0.00666	2.26192	0.02291	-0.02291
4.36877	0.00666	2.27348	0.03437	-0.03437
4.37543	0.00666	2.23411	0.02144	-0.02144
4.38203	0.00666	2.25939	0.0224	-0.0224
4.38868	0.00666	2.23437	0.02158	-0.02158
4.39534	0.00666	2.23742	0.02361	-0.02361
4.402	0.00666	2.25345	0.02222	-0.02222
4.40865	0.00666	2.22379	0.0203	-0.0203
4.41531	0.00665	2.25957	0.02408	-0.02408
4.42196	0.00665	2.2566	0.02199	-0.02199
4.42861	0.00665	2.24781	0.02141	-0.02141
4.43527	0.00665	2.2462	0.02186	-0.02186
4.44192	0.00665	2.2466	0.02346	-0.02346
4.44857	0.00665	2.22329	0.02386	-0.02386
4.45522	0.00665	2.18791	0.02378	-0.02378
4.46183	0.00665	2.22628	0.02869	-0.02869
4.46845	0.00665	2.2194	0.0213	-0.0213
4.4751	0.00665	2.23244	0.02397	-0.02397
4.48175	0.00665	2.22621	0.02429	-0.02429
4.48839	0.00665	2.18286	0.02263	-0.02263
4.49504	0.00665	2.17887	0.02613	-0.02613
4.50168	0.00664	2.18478	0.02342	-0.02342
4.50832	0.00664	2.18333	0.02537	-0.02537
4.51497	0.00664	2.19783	0.02603	-0.02603
4.52161	0.00664	2.14813	0.02533	-0.02533
4.52825	0.00664	2.17128	0.02353	-0.02353
4.53489	0.00664	2.15714	0.02437	-0.02437
4.54146	0.00664	2.15747	0.02384	-0.02384
4.5481	0.00664	2.18411	0.0255	-0.0255
4.55474	0.00664	2.20496	0.02561	-0.02561
4.56137	0.00664	2.19131	0.0254	-0.0254
4.56801	0.00664	2.21067	0.02483	-0.02483
4.57465	0.00663	2.20058	0.02597	-0.02597
4.58128	0.00663	2.15478	0.02355	-0.02355
4.58791	0.00663	2.17241	0.02458	-0.02458
4.59455	0.00663	2.13747	0.02428	-0.02428
4.60118	0.00663	2.12244	0.02483	-0.02483
4.60774	0.00663	2.13635	0.02432	-0.02432
4.61437	0.00663	2.12774	0.02484	-0.02484
4.621	0.00663	2.1302	0.02696	-0.02696
4.62763	0.00663	2.17618	0.02423	-0.02423
4.63426	0.00663	2.15535	0.02567	-0.02567
4.64088	0.00663	2.14123	0.02663	-0.02663
4.64751	0.00662	2.19373	0.02617	-0.02617
4.65413	0.00662	2.15604	0.02714	-0.02714
